text,category,quadrant
Stricter gun control laws would reduce violent crime rates,Criminal justice,Auth-Left
"Drug offenses should be decriminalized and treated as public health issues, with resources redirected from law enforcement to state-funded addiction treatment and harm reduction initiatives.",Criminal justice,Auth-Left
Corporate executives should face criminal liability for company wrongdoing,Criminal justice,Auth-Left
Mandatory body cameras reduce police misconduct,Criminal justice,Auth-Left
Prison labor should be abolished and replaced with restorative justice programs focused on rehabilitation and victim compensation funded through progressive taxation.,Criminal justice,Auth-Left
Racial profiling is sometimes necessary for effective law enforcement,Criminal justice,Auth-Right
Stand your ground laws protect legitimate self-defense rights,Criminal justice,Auth-Right
Law enforcement should have access to encrypted communications,Criminal justice,Auth-Right
Bank executives should face criminal liability for financial crimes,Criminal justice,Auth-Right
Protest tactics that block traffic should result in arrest,Criminal justice,Auth-Right
Supporting community policing can enhance public safety and trust.,Criminal justice,Centrist
"Restorative justice practices offer a promising alternative to traditional punitive measures, but their effectiveness and scalability require further rigorous study and careful implementation.",Criminal justice,Centrist
"The privatization of prisons, while potentially offering cost savings, warrants careful oversight to prevent exploitation and ensure humane treatment of inmates.",Criminal justice,Centrist
Term limits for legislators would reduce corruption,Criminal justice,Centrist
"Mandatory minimum sentencing laws should be re-evaluated for their impact on prison populations and potential for disproportionate application, weighed against their deterrent effect.",Criminal justice,Centrist
Jury nullification is a legitimate check on unjust laws,Criminal justice,Lib-Left
Police departments should be required to carry liability insurance,Criminal justice,Lib-Left
Drug possession for personal use should be decriminalized,Criminal justice,Lib-Left
Solitary confinement constitutes cruel and unusual punishment,Criminal justice,Lib-Left
The death penalty should be abolished nationwide,Criminal justice,Lib-Left
"Private prisons, operating under strict performance-based contracts focused on rehabilitation and recidivism reduction, offer a more efficient and accountable alternative to government-run institutions.",Criminal justice,Lib-Right
"Restorative justice programs, emphasizing mediation between offenders and victims and community involvement, offer a more effective and humane approach to crime resolution than traditional punitive measures.",Criminal justice,Lib-Right
"Mandatory minimum sentencing laws should be repealed, granting judges greater discretion to consider individual circumstances and reducing the burden on taxpayers caused by mass incarceration.",Criminal justice,Lib-Right
Law enforcement should be prohibited from using civil asset forfeiture,Criminal justice,Lib-Right
"The government should decriminalize victimless crimes, such as recreational drug use and consensual prostitution, to focus law enforcement resources on violent offenses and protect individual liberty.",Criminal justice,Lib-Right
Government should guarantee a job to anyone who wants one,Economic policy,Auth-Left
Musk's wealth should be subject to a wealth tax to fund public services,Economic policy,Auth-Left
Central banks should be audited and have less independence,Economic policy,Auth-Left
Amazon's warehouse workers deserve mandatory union representation to protect them from exploitative working conditions and unrealistic productivity quotas.,Economic policy,Auth-Left
Trade unions should have seats on corporate boards,Economic policy,Auth-Left
Outsourcing jobs overseas should be penalized through taxation,Economic policy,Auth-Right
Trade deficits are a sign of economic weakness,Economic policy,Auth-Right
Government procurement should prioritize domestic suppliers over cost savings,Economic policy,Auth-Right
Agricultural subsidies protect national food security,Economic policy,Auth-Right
Cryptocurrency transactions should be subject to the same reporting requirements as traditional banking,Economic policy,Auth-Right
Supporting vocational training can boost employment and economic mobility.,Economic policy,Centrist
Public policies should promote both innovation and inclusive growth.,Economic policy,Centrist
Effective policies should address both economic challenges and social needs.,Economic policy,Centrist
Efficient government spending is necessary to maximize the impact of taxpayer dollars.,Economic policy,Centrist
Public investment should balance economic growth with community benefits.,Economic policy,Centrist
Labor unions are essential for protecting worker rights,Economic policy,Lib-Left
Land value taxes are preferable to property taxes,Economic policy,Lib-Left
Government contracts should prioritize AI companies with diverse leadership and ownership.,Economic policy,Lib-Left
Employee ownership models like co-ops create more equitable workplaces,Economic policy,Lib-Left
Banks deemed 'too big to fail' should be broken up,Economic policy,Lib-Left
Patent terms should be shortened to encourage innovation,Economic policy,Lib-Right
The Federal Reserve has too much power and lacks accountability,Economic policy,Lib-Right
Corporations have a duty to prioritize shareholder value above other stakeholders,Economic policy,Lib-Right
Minimum wage laws hurt small businesses and increase unemployment,Economic policy,Lib-Right
Eliminating the capital gains tax would spur investment and growth,Economic policy,Lib-Right
The government should provide free public college tuition,Education,Auth-Left
Investing in public education is key to fostering equal opportunities.,Education,Auth-Left
Public schools should be funded equally regardless of local property values,Education,Auth-Left
Universal childcare should be publicly funded like K-12 education,Education,Auth-Left
Government-funded universal pre-K would boost economic productivity,Education,Auth-Left
Sex education in schools should require parental consent,Education,Auth-Right
Homeschooling should face stricter government oversight,Education,Auth-Right
School libraries should notify parents of books their children check out,Education,Auth-Right
Teachers should be allowed to carry firearms in schools for protection,Education,Auth-Right
Standardized testing improves educational outcomes,Education,Auth-Right
AI tutoring systems should supplement but never replace human teachers in classrooms.,Education,Centrist
Curriculum development should balance core academic subjects with practical skills training and arts education to foster well-rounded individuals prepared for diverse career paths and civic engagement.,Education,Centrist
"Standardized testing, while providing a comparable metric for student performance, may not accurately reflect individual learning styles or diverse educational environments.",Education,Centrist
Promoting technical education can boost employment and meet industry needs.,Education,Centrist
"Increased school choice, including charter schools and voucher programs, should be carefully evaluated to ensure equitable access and avoid exacerbating existing inequalities within the education system.",Education,Centrist
Promoting equal opportunities in education is essential for social equity.,Education,Lib-Left
Public schools should be prohibited from using AI-powered behavior prediction systems on students.,Education,Lib-Left
Sex education in schools should include LGBTQ+ topics,Education,Lib-Left
AI systems used in education should be required to promote critical thinking over rote answers.,Education,Lib-Left
Expanding educational opportunities for underrepresented groups is key to social equity.,Education,Lib-Left
School choice programs improve educational outcomes,Education,Lib-Right
"Curriculum decisions should reside primarily with individual schools and educators, fostering innovation and responsiveness to local community values, rather than being dictated by centralized government mandates.",Education,Lib-Right
Charter schools improve educational outcomes through competition,Education,Lib-Right
Parents should have the right to opt their children out of any AI-powered educational tools.,Education,Lib-Right
"Educational funding should be primarily directed towards direct student scholarships and vouchers, empowering families to choose the educational providers that best suit their children's needs, rather than funding centralized public school systems.",Education,Lib-Right
The energy consumption of AI data centers should be capped to meet climate commitments.,Environmental policy,Auth-Left
"Environmental remediation should be funded by a progressive global carbon tax, with revenues redistributed to developing nations most impacted by climate change to address historical injustices and ensure a just transition.",Environmental policy,Auth-Left
Fossil fuel companies should pay for climate adaptation costs,Environmental policy,Auth-Left
Public transit should be free to reduce car dependence,Environmental policy,Auth-Left
Green New Deal policies would strengthen the economy,Environmental policy,Auth-Left
"National environmental protection should prioritize securing domestic resources and reducing reliance on foreign nations, even if it means temporarily relaxing certain emissions standards.",Environmental policy,Auth-Right
"Environmental education in schools should emphasize responsible stewardship and conservation within the context of national heritage, rather than focusing on global climate change activism.",Environmental policy,Auth-Right
"Environmental regulations should be carefully balanced against the needs of domestic industries and job creation, with national economic strength taking precedence over strict adherence to international climate agreements.",Environmental policy,Auth-Right
Local governments should ban Amazon delivery vehicles from residential streets during school hours to protect children.,Environmental policy,Auth-Right
"The preservation of natural landscapes should primarily focus on areas of national historical or cultural significance, ensuring that environmental policies also promote a sense of national identity and pride.",Environmental policy,Auth-Right
Supporting green technology can drive sustainable economic development.,Environmental policy,Centrist
Moderate environmental initiatives can protect resources and foster economic growth.,Environmental policy,Centrist
Promoting energy efficiency can reduce costs and enhance economic resilience.,Environmental policy,Centrist
Moderate tax incentives can encourage investment in renewable energy.,Environmental policy,Centrist
Encouraging sustainable agriculture can enhance food security and economic growth.,Environmental policy,Centrist
Public pension funds should divest from fossil fuel companies,Environmental policy,Lib-Left
Local communities should have the right to ban fracking,Environmental policy,Lib-Left
Strengthening climate policies is crucial to combat global warming and protect the environment.,Environmental policy,Lib-Left
Fossil fuel subsidies should be eliminated immediately,Environmental policy,Lib-Left
Salesforce's carbon-neutral commitments are meaningless greenwashing given its role in enabling corporate overconsumption.,Environmental policy,Lib-Left
"Property rights, including the right to utilize resources on one's land, are fundamental to environmental stewardship, incentivizing responsible management and conservation.",Environmental policy,Lib-Right
Technological advancements in areas like carbon capture and renewable energy should be prioritized over restrictive environmental regulations that stifle economic progress and limit individual choices.,Environmental policy,Lib-Right
"Carbon taxes, if implemented, should be revenue-neutral, offset by reductions in other taxes to avoid hindering economic growth and individual prosperity.",Environmental policy,Lib-Right
"Environmental innovation, driven by market competition and private investment, offers more sustainable and effective solutions than government-mandated regulations.",Environmental policy,Lib-Right
"International environmental agreements should be voluntary and based on mutual benefit, respecting national sovereignty and avoiding coercion through treaties with punitive enforcement mechanisms.",Environmental policy,Lib-Right
"Military intervention should be reserved exclusively for instances of internationally recognized genocide or crimes against humanity, authorized only by a democratized and representative UN Security Council, prioritizing diplomatic and economic solutions above all else.",Foreign policy,Auth-Left
"A global Green New Deal, funded by a progressive tax on multinational corporations and wealthy individuals, is necessary to address climate change and promote sustainable development in all nations, prioritizing the needs of the Global South.",Foreign policy,Auth-Left
"International law should prioritize the rights of states to national self-determination and sovereignty, while simultaneously holding them accountable for human rights violations through binding international tribunals with universal jurisdiction.",Foreign policy,Auth-Left
"Global wealth redistribution through international aid and trade agreements, overseen by a strengthened United Nations, is essential to combat neo-colonialism and promote genuine global equality.",Foreign policy,Auth-Left
"Developed nations have a moral obligation to unconditionally forgive the debts of developing nations, recognizing historical exploitation and creating space for self-determined economic development free from neo-liberal constraints imposed by international financial institutions.",Foreign policy,Auth-Left
International criminal courts undermine national sovereignty,Foreign policy,Auth-Right
International sanctions should target countries using AI for mass surveillance of their populations.,Foreign policy,Auth-Right
AI research collaborations with authoritarian governments should be prohibited.,Foreign policy,Auth-Right
Hostile foreign investments in critical infrastructure should be blocked,Foreign policy,Auth-Right
NATO expansion enhances global security,Foreign policy,Auth-Right
Promoting bipartisan solutions can lead to more balanced and effective policies.,Foreign policy,Centrist
"International trade agreements should be pursued cautiously, seeking to maximize economic benefits while also mitigating potential negative impacts on domestic industries, labor standards, and environmental protection.",Foreign policy,Centrist
"A nation's foreign policy should balance promoting its own economic interests with contributing to global economic stability and development, recognizing that these goals are often intertwined.",Foreign policy,Centrist
The UN Security Council structure is outdated and undemocratic,Foreign policy,Centrist
"Military intervention should be considered a tool of last resort, employed only when diplomatic solutions have been exhausted and with a clearly defined and achievable objective, alongside a comprehensive strategy for post-conflict stabilization and reconstruction.",Foreign policy,Centrist
SpaceX's plans for Mars colonization represent a dangerous distraction from solving Earth's problems,Foreign policy,Lib-Left
"Military intervention should be replaced by robust diplomatic and economic pressure, including targeted sanctions against individuals and corporations violating human rights, as the primary tool for addressing international conflicts.",Foreign policy,Lib-Left
"International aid should prioritize supporting grassroots movements and local NGOs in developing nations, rather than working primarily through governments, to ensure aid reaches those most in need and fosters genuine self-determination.",Foreign policy,Lib-Left
Defense spending should be significantly reduced,Foreign policy,Lib-Left
"A foreign policy centered on restorative justice, including reparations for historical injustices like colonialism and slavery, is crucial for building genuine and equitable international relationships.",Foreign policy,Lib-Left
The United States should pursue a non-interventionist foreign policy,Foreign policy,Lib-Right
"Military intervention should be reserved solely for direct defense against aggression, with private military companies considered as a potentially more efficient and accountable alternative to large-scale public deployments in some limited circumstances.",Foreign policy,Lib-Right
"Free trade agreements, even with nations holding differing political values, are the most effective tool for promoting both global prosperity and, ultimately, liberalization through economic integration.",Foreign policy,Lib-Right
Foreign aid is a waste of taxpayer money,Foreign policy,Lib-Right
"National borders should be primarily for security and administrative purposes, with minimal restrictions on the movement of capital, goods, and voluntary migrants who contribute to the economy.",Foreign policy,Lib-Right
Social media addiction should be treated as a public health crisis,Healthcare,Auth-Left
Single-payer healthcare would reduce overall medical costs for society,Healthcare,Auth-Left
Investing in public health infrastructure is essential to prepare for future health crises.,Healthcare,Auth-Left
Expanding access to affordable healthcare is crucial for a healthy society.,Healthcare,Auth-Left
Pharmaceutical companies should be prohibited from advertising to consumers,Healthcare,Auth-Left
AI systems making medical diagnoses should require sign-off from licensed physicians before patient notification.,Healthcare,Auth-Right
"Public health campaigns should emphasize personal responsibility and traditional family structures as the primary means of preventing disease and promoting healthy lifestyles, rather than relying solely on government intervention and regulation.",Healthcare,Auth-Right
Healthcare should prioritize the needs of native-born citizens who have contributed to the nation's social security system over those of recent immigrants or undocumented individuals.,Healthcare,Auth-Right
Parents should have access to their minor children's medical records,Healthcare,Auth-Right
"Mandatory genetic testing for predispositions to certain diseases should be implemented to promote national health and reduce long-term healthcare costs, while respecting individual privacy to the extent compatible with public health.",Healthcare,Auth-Right
Moderate healthcare reforms can improve access while controlling costs.,Healthcare,Centrist
"The ideal healthcare model incorporates elements of both public and private insurance to maximize efficiency and patient choice, but must be regularly adjusted to ensure equitable outcomes.",Healthcare,Centrist
A balanced view on healthcare should consider both cost and accessibility.,Healthcare,Centrist
Governance should balance economic goals with public health priorities.,Healthcare,Centrist
Healthcare systems should strive for universal access while acknowledging the limitations of public funding and the potential for private sector innovation.,Healthcare,Centrist
Safe injection sites reduce harm from drug addiction,Healthcare,Lib-Left
"Community-led, holistic wellness programs focusing on preventative care, mental health, and alternative medicine should be prioritized over solely reactive, biomedical approaches.",Healthcare,Lib-Left
"Healthcare should be a constitutionally guaranteed human right, universally accessible and free at the point of service, funded through progressive taxation.",Healthcare,Lib-Left
Patents on life-saving drugs stifle innovation and access,Healthcare,Lib-Left
Pharmaceutical companies should be treated as public utilities with price controls and open-source research mandates to prioritize patient well-being over profit.,Healthcare,Lib-Left
Privatizing healthcare can lead to more efficient and innovative services.,Healthcare,Lib-Right
"Healthcare providers should be transparent with their pricing, allowing consumers to make informed decisions and promoting market-based accountability.",Healthcare,Lib-Right
"Individuals should be free to purchase healthcare insurance across state or national borders, fostering competition and driving down costs.",Healthcare,Lib-Right
Mandatory vaccination violates bodily autonomy,Healthcare,Lib-Right
"Government subsidies for healthcare distort the market, leading to inflated prices and reduced individual responsibility for health management.",Healthcare,Lib-Right
"Immigrants, as future members of the proletariat, should be welcomed and integrated into society through comprehensive state-funded programs, ensuring equal access to education, healthcare, and housing, regardless of their legal status.",Immigration,Auth-Left
Immigration should be managed by a centralized state authority focused on equitable wealth redistribution so that immigrant communities and native born citizens alike benefit equally from shared resources and services.,Immigration,Auth-Left
"Borders should be managed to ensure the free flow of labor as a fundamental human right, but states have a right to control immigration to strategically meet labor needs and protect social cohesion through targeted assimilation programs.",Immigration,Auth-Left
"Immigration policies should prioritize the needs of the domestic working class by strictly regulating labor markets to prevent wage depression and exploitation, while providing robust social safety nets for all.",Immigration,Auth-Left
"Wealthy nations have a moral obligation to accept migrants and refugees from countries destabilized by historical and ongoing neo-colonial policies, providing them with reparations in the form of generous welfare and social services.",Immigration,Auth-Left
Immigration increases crime and strains public services,Immigration,Auth-Right
Border walls are effective tools for national security,Immigration,Auth-Right
Immigration levels should be significantly reduced,Immigration,Auth-Right
Sanctuary cities undermine federal immigration law and should lose funding,Immigration,Auth-Right
Immigration enforcement should prioritize border security over pathway to citizenship,Immigration,Auth-Right
"Governments should implement fair and transparent processes for managing immigration flows, taking into account both national security concerns and humanitarian obligations.",Immigration,Centrist
"While respecting cultural diversity, immigration policies should promote shared values and civic participation among all residents, including immigrants.",Immigration,Centrist
"The economic impact of immigration, both positive and negative, warrants careful consideration and should inform evidence-based policy adjustments.",Immigration,Centrist
Immigration policies should strive for a balance between meeting labor market demands and ensuring the successful integration of newcomers into society.,Immigration,Centrist
Effective immigration management requires international cooperation to address the root causes of migration and ensure the humane treatment of migrants and refugees.,Immigration,Centrist
Immigration enriches our culture and strengthens our economy,Immigration,Lib-Left
"Immigrant communities deserve full access to social services, including healthcare and education, regardless of their legal status, funded through progressive taxation to ensure equitable integration and reduce exploitation.",Immigration,Lib-Left
Non-citizens should be counted in census apportionment,Immigration,Lib-Left
Wealthy nations have a moral obligation to accept climate refugees,Immigration,Lib-Left
National borders are artificial constructs that restrict human freedom,Immigration,Lib-Left
"Immigration should be determined by individual contracts between employers and potential immigrants, not by government quotas or restrictions, fostering economic growth and fulfilling labor demands organically.",Immigration,Lib-Right
"Border security should prioritize the efficient and legal flow of people and goods, focusing on removing barriers to entry and combating illegal activity while respecting individual rights and free trade principles.",Immigration,Lib-Right
"Immigrants should be welcomed as productive members of society, not treated as a burden on taxpayers; reliance on charity and private sponsorship, rather than public assistance, should be encouraged during their transition.",Immigration,Lib-Right
"Open borders, coupled with the elimination of welfare programs and strict enforcement of private property rights, maximizes individual liberty and economic prosperity by allowing the free flow of labor and capital.",Immigration,Lib-Right
"Governments should streamline the immigration process by reducing bureaucratic hurdles and licensing requirements for foreign-trained professionals, unleashing their entrepreneurial potential and benefiting the economy.",Immigration,Lib-Right
Reparations should be paid for historical injustices,Social issues,Auth-Left
"The state has a responsibility to ensure equitable access to comprehensive sexual and reproductive health education, regardless of socioeconomic status or geographic location.",Social issues,Auth-Left
The government should provide free contraception to all who want it,Social issues,Auth-Left
The government should provide universal childcare,Social issues,Auth-Left
Public broadcasting serves an essential democratic function,Social issues,Auth-Left
Gender transition treatments should not be available to minors,Social issues,Auth-Right
The electoral college ensures fair representation for less populated states,Social issues,Auth-Right
Transgender athletes should compete based on biological sex,Social issues,Auth-Right
Netflix's binge-release model has damaged the communal aspects of cultural consumption.,Social issues,Auth-Right
School prayer should be allowed in public schools,Social issues,Auth-Right
Moderate social policies can enhance welfare without burdening the economy.,Social issues,Centrist
Ranked choice voting would reduce political polarization,Social issues,Centrist
Governance should aim to balance innovation with traditional values.,Social issues,Centrist
Governance should balance economic development with cultural preservation.,Social issues,Centrist
Promoting civil discourse is essential for effective and inclusive policy-making.,Social issues,Centrist
Protest permits infringe on the right to peaceful assembly,Social issues,Lib-Left
Expanding civil liberties protections ensures equality and justice for all.,Social issues,Lib-Left
The voting age should be lowered to 16,Social issues,Lib-Left
Religious exemptions to civil rights laws go too far,Social issues,Lib-Left
Abortion access is a fundamental right,Social issues,Lib-Left
Cancel culture threatens free expression in democratic society,Social issues,Lib-Right
Regulations regarding gender identity and expression should be minimized to protect individual autonomy and freedom of association.,Social issues,Lib-Right
"Individuals should have the freedom to choose their own healthcare plans, even if it means opting out of universal coverage mandates.",Social issues,Lib-Right
The government should not fund art that some find offensive,Social issues,Lib-Right
Private charities and community initiatives are more effective and morally sound solutions to poverty than government welfare programs.,Social issues,Lib-Right
AI systems should be designed with built-in obsolescence to prevent permanent technological unemployment.,Technology regulation,Auth-Left
AI companies should be required to establish funds for potential future liability claims.,Technology regulation,Auth-Left
Meta should be legally liable for mental health damages caused by algorithmic amplification of harmful content on its platforms.,Technology regulation,Auth-Left
YouTube's recommendation algorithm radicalizes viewers and should be redesigned by law,Technology regulation,Auth-Left
"Meta should be broken up into separate companies for Facebook, Instagram, and WhatsApp to prevent monopolistic control over social communication.",Technology regulation,Auth-Left
Children under 16 should be prohibited from interacting with AI chatbots without parental supervision.,Technology regulation,Auth-Right
Starlink's control over global internet infrastructure poses unacceptable national security risks,Technology regulation,Auth-Right
Tech companies should be liable for content posted by users,Technology regulation,Auth-Right
Google's removal of Parler from Play Store was justified to prevent violence,Technology regulation,Auth-Right
AI-generated political content should be banned within 60 days of elections.,Technology regulation,Auth-Right
AI language models should be required to cite sources for factual claims to combat misinformation.,Technology regulation,Centrist
Investing in cybersecurity is essential to protect national interests and infrastructure.,Technology regulation,Centrist
Balanced regulation should protect consumers while fostering innovation.,Technology regulation,Centrist
Alphabet's financial reserves allow long-term research impossible for smaller companies,Technology regulation,Centrist
Apple's privacy stance is mostly marketing rather than genuine user protection,Technology regulation,Centrist
Data privacy should be treated as a fundamental human right,Technology regulation,Lib-Left
Government use of AI for welfare eligibility determinations should be prohibited due to bias risks.,Technology regulation,Lib-Left
Patents on AI algorithms should be prohibited to accelerate innovation and prevent monopolies.,Technology regulation,Lib-Left
"ByteDance's data practices are no worse than American tech companies, and TikTok bans are purely protectionist.",Technology regulation,Lib-Left
Meta's business model of surveillance capitalism is fundamentally incompatible with human dignity and privacy rights.,Technology regulation,Lib-Left
Children should have unrestricted access to social media,Technology regulation,Lib-Right
Data privacy regulations harm small business competitiveness,Technology regulation,Lib-Right
Social media platforms have a right to moderate content as they see fit,Technology regulation,Lib-Right
Blockchain technology eliminates the need for financial regulation,Technology regulation,Lib-Right
Users should have the right to completely opt out of all Google data collection while still using their services,Technology regulation,Lib-Right
